t_vision,t_decision,t_bridge,latency_ms
1765882860.9260337,1765882860.9266353,1765882860.9268932,0.8594989776611328
1765882861.3222506,1765882861.3230944,1765882861.3233852,1.134634017944336
1765882861.3503532,1765882861.3509045,1765882861.351112,0.7586479187011719
1765882861.4458475,1765882861.446403,1765882861.4466271,0.7796287536621094
1765882861.5465376,1765882861.5471063,1765882861.5473175,0.7798671722412109
1765882861.6596181,1765882864.3589914,1765882864.3592725,2699.6543407440186
1765882863.4484086,1765882865.0682263,1765882865.0684688,1620.0602054595947
1765882864.1483705,1765882865.0690613,1765882865.06925,920.879602432251
1765882864.2468228,1765882865.0696492,1765882865.0697563,822.9334354400635
1765882864.3592138,1765882865.0701709,1765882865.0702503,711.0364437103271
1765882864.442666,1765882865.0706818,1765882865.070757,628.0908584594727
1765882864.5539732,1765882866.2951813,1765882866.2954805,1741.5072917938232
1765882865.35821,1765882866.29617,1765882866.2963552,938.1451606750488
1765882865.4498498,1765882866.2970629,1765882866.2972138,847.3639488220215
1765882865.5572498,1765882866.2978802,1765882866.2980273,740.7774925231934
1765882865.6507206,1765882866.298476,1765882866.298712,647.991418838501
1765882865.7579508,1765882866.2990654,1765882866.2993753,541.4245128631592
1765882865.851563,1765882866.2996032,1765882866.3000677,448.5046863555908
1765882865.9455252,1765882866.3001432,1765882866.3007307,355.2055358886719
1765882866.0536067,1765882866.3006647,1765882866.3014033,247.79653549194336
1765882866.1503432,1765882866.3011854,1765882866.3020627,151.7195701599121
1765882866.2486026,1765882866.3017178,1765882866.3027043,54.10170555114746
1765882866.3424315,1765882866.3431332,1765882866.343425,0.9934902191162109
1765882866.4457235,1765882866.4464056,1765882866.4466267,0.9031295776367188
1765882866.5553117,1765882866.5562785,1765882866.556567,1.2552738189697266
1765882866.659651,1765882866.6603985,1765882866.6606147,0.9636878967285156
1765882866.7597532,1765882866.7605171,1765882866.7607605,1.0073184967041016
1765882866.8599172,1765882866.8606362,1765882866.860914,0.9968280792236328
1765882866.9612522,1765882866.9619923,1765882866.9622266,0.9744167327880859
1765882867.056808,1765882867.0574937,1765882867.0577197,0.911712646484375
1765882867.161685,1765882867.162432,1765882867.16267,0.9849071502685547
1765882867.2582061,1765882867.2589076,1765882867.2591348,0.9286403656005859
1765882867.3471558,1765882867.3478315,1765882867.348086,0.9303092956542969
1765882867.4600432,1765882867.4607549,1765882867.4609833,0.9400844573974609
1765882867.5522504,1765882867.5532267,1765882867.5535157,1.2652873992919922
1765882867.6597815,1765882867.660524,1765882867.6607587,0.9772777557373047
1765882867.7613466,1765882867.762096,1765882867.7623248,0.9782314300537109
1765882867.8645527,1765882867.8653507,1765882867.8655937,1.0409355163574219
1765882867.9591877,1765882869.7070415,1765882869.7072954,1748.107671737671
1765882868.7552254,1765882869.7080493,1765882869.708171,952.9454708099365
1765882868.8541512,1765882870.8199515,1765882870.8202343,1966.08304977417
1765882869.8439844,1765882870.82085,1765882870.820998,977.0135879516602
1765882869.9555635,1765882870.8214822,1765882870.8216171,866.053581237793
1765882870.0528018,1765882870.8220506,1765882870.8221388,769.3369388580322
1765882870.147563,1765882870.8225863,1765882870.8226671,675.1041412353516
1765882870.2616746,1765882870.8231332,1765882870.8232186,561.5439414978027
1765882870.3499818,1765882870.8236685,1765882870.8237484,473.766565322876
1765882870.4493604,1765882870.8242044,1765882870.8242834,374.9229907989502
1765882870.556604,1765882870.8247228,1765882870.8248029,268.19896697998047
1765882870.6495626,1765882870.825266,1765882870.825349,175.78649520874023
1765882870.7582612,1765882870.8258128,1765882870.8259037,67.6424503326416
1765882870.8442595,1765882875.8480814,1765882875.8483655,5004.106044769287
1765882874.852261,1765882875.8491304,1765882875.8492935,997.0324039459229
